rank,name,followers,er,country,topic_of_influence,potential_reach,channel_name,total_subscribers,total_views,total_videos
51,elmayo97 @UCdzcHYFrj4JjaBVmagCdoxg,8.4M,-,Mexico,,2.5M,Los Ángeles Azules,9670000,14414271126,124
52,Susy Mouriz @UC2Rh-eKkibnZq8pRxYYoSSQ,8.2M,0.40%,Mexico,,2.5M,Antronixx G,9430000,1119928628,1613
53,Los Ángeles Azules @UCYTPYsuIRSu7o9xmeB_L4_g,8.1M,0.10%,Mexico,,2.4M,Jorge el Curioso en Español,10400000,5118619926,2168
54,Antronixx G @UCrY307dziCjW1E6u1ZuLetg,8M,-,Mexico,,2.4M,Mario Aguilar,8000000,1102962724,1270
55,Jorge el Curioso en Español @UCWpnUMsmO7UXquKw5f-suFQ,8M,-,Mexico,Television,2.4M,SoyFredy,9390000,1798516783,433
56,Mario Aguilar @UCvFmBpXFbwruiWdnGobw9Ow,7.9M,-,Mexico,,2.4M,Eliot Channel Mx,14000000,8890952589,10033
57,SoyFredy @UCLBrzsFRM-PgnLgAaxOLRFA,7.9M,0.10%,Mexico,,2.4M,MIRACULOUS - Las Aventuras de Ladybug,11700000,6352951939,1136
58,Eliot Channel Mx @UCicv75Se8iS6otnQJ_4Pa_A,7.8M,-,Mexico,,2.3M,ckan98,8270000,4310493508,59
59,MIRACULOUS - Las Aventuras de Ladybug @UClO_ni5PslPD9LsfZiyfcyA,7.6M,-,Mexico,,2.3M,Job Othoniel,10800000,618990457,4685
60,ckan98 @UCkD89TEFWsTZluY6tk84yqg,7.6M,0.30%,Mexico,,2.3M,Bely y Beto Oficial,13900000,9132903140,790
61,Job Othoniel @UC4jv50_lfrnb8F_0x-l6AYw,7.6M,-,Mexico,Careers,2.3M,Chiki-Arte Aprende a Dibujar,7360000,1763498461,570
62,Oficial Bely & Beto´s Channel @UC7rJKxq6P9NZyhtTaT-JjWw,7.5M,-,Mexico,,2.3M,El Fedelobo,8180000,1663897641,2178
63,Chiki-Arte Aprende a Dibujar @UC-63s9JLCZqIDlhXK6VHb7w,7.4M,-,Mexico,,2.2M,Kenia Os,7220000,26265535,6
64,El Fedelobo @UCSM3FVwdCIJfU0OdjKZb94A,7.3M,0.50%,Mexico,,2.2M,HGamesYT,7090000,982233269,2136
